feature,mean,scale
attempt_count,16.827430997876856,24.334753772556002
failed_count,11.899702760084926,16.59412719116282
success_count,0.007473460721868365,0.09185159980621913
invalid_user_count,1.5750318471337579,4.463015835654656
unique_usernames,2.217027600849257,1.5892923545395459
unique_ports,4.88140127388535,8.00374051024441
duration_seconds,28.420891719745224,23.370338979209038
attempt_rate,0.8895159788180589,0.7344030774888616
failure_rate,0.6744283343114814,0.2519462597204709
invalid_user_rate,0.17992895155001062,0.2466636603109494
success_rate,0.00613087714916115,0.07600087341572981
port_diversity,0.3298650546976278,0.19529570866768534
